Team,Against,Player,Color,Game,Round,Half,X,Y,Type,x_true,y_true
Chile,Ecuador,A. Vidal,Red,1,1,2,1100,400,P,990,360
Chile,Ecuador,E. Vargas,Red,1,1,2,1120,350,K,1008,315
Uruguay,Jamaica,C. Rodriguez,DodgerBlue,3,1,2,1145,365,K,1030.5,328.5
Argentina,Paraguay,S. Aguero,DeepSkyBlue,4,1,1,180,240,K,162,216
Argentina,Paraguay,L. Messi,DeepSkyBlue,4,1,1,178,400,P,160.2,360
Paraguay,Argentina,N. Valdez,OrangeRed,4,1,2,941,385,K,846.9,346.5
Paraguay,Argentina,L.Barrios,OrangeRed,4,1,2,1058,330,K,952.2,297
Venezuela,Colombia,S. Rondon,Red,5,1,2,1140,377,H,1026,339.3
Brazil,Peru,Neymar,ForestGreen,6,1,1,139,426,H,125.1,383.4
Brazil,Peru,D. Costa,ForestGreen,6,1,2,1142,470,K,1027.8,423
Peru,Brazil,C. Cueva,White,6,1,1,158,475,K,142.2,427.5
Ecuador,Bolivia,E. Valencia,Yellow,7,1,2,1131,417,K,1017.9,375.3
Ecuador,Bolivia,M. Bolanos,Yellow,7,1,2,902,425,K,811.8,382.5
Bolivia,Ecuador,R. Raldes,White,7,1,1,125,350,H,112.5,315
Bolivia,Ecuador,M. Smedberg-Dalence,White,7,1,1,307,384,K,276.3,345.6
Bolivia,Ecuador,M. Moreno,White,7,1,1,178,400,P,160.2,360
Chile,Mexico,A. Vidal,Red,8,1,1,182,398,H,163.8,358.2
Chile,Mexico,E. Vargas,Red,8,1,1,166,399,K,149.4,359.1
Chile,Mexico,A. Vidal,Red,8,1,2,1100,400,P,990,360
Mexico,Chile,J. Medina,Olive,8,1,1,109,431,K,98.1,387.9
Mexico,Chile,R. Jimenez,Olive,8,1,1,175,396,H,157.5,356.4
Mexico,Chile,V. Vuoso,Olive,8,1,2,1113,475,K,1001.7,427.5
Paraguay,Jamaica,E. Benitz,OrangeRed,9,1,1,358,409,K,322.2,368.1
Argentina,Uruguay,S. Aguero,DeepSkyBlue,10,1,2,1150,455,K,1035,409.5
Colombia,Brazil,J. Murillo,Yellow,11,1,1,156,428,K,140.4,385.2
Peru,Venezuela,C. Pizarro,White,12,1,2,1136,304,K,1022.4,273.6
Ecuador,Mexico,M. Bolanos,Yellow,13,1,1,78,372,K,70.2,334.8
Ecuador,Mexico,E. Valencia,Yellow,13,1,2,1130,414,P,1017,372.6
Mexico,Ecuador,R. Jimenez,Olive,13,1,2,1100,400,P,990,360
Chile,Bolivia,C. Aranguiz,Red,14,1,1,191,337,K,171.9,303.3
Chile,Bolivia,A. Sanchez,Red,14,1,1,,,,0,0
Chile,Bolivia,C. Aranguiz,Red,14,1,2,,,,0,0
Chile,Bolivia,G. Medel,Red,14,1,2,,,,0,0
Chile,Bolivia,A. Henriquez,Red,14,1,2,,,O,0,0
